ID;name;gender;PeoplesCount;WhenPeoplesCount;
20022;Аврора;women;66000;23.06.2016 13:55:31;
20023;Авросия;women;5;23.06.2016 13:55:38;
20024;Аврура;women;1;23.06.2016 13:55:46;
20025;Аврустина;women;3;23.06.2016 13:55:54;
20026;Авруся;women;1;23.06.2016 13:56:02;
20027;Авруца;women;0;23.06.2016 13:56:10;
20028;Аврыда;women;1;23.06.2016 13:56:19;
20029;Автандия;women;0;23.06.2016 13:56:26;
20030;Автелина;women;0;23.06.2016 13:56:34;
20031;Автолина;women;0;23.06.2016 13:56:42;
20032;Автомаска;women;1;23.06.2016 13:56:50;
20033;Автондия;women;2;23.06.2016 13:56:59;
20034;Автонина;women;12;23.06.2016 13:57:08;
20035;Авула;women;19;23.06.2016 13:57:15;
20036;Агаатэ;women;2;23.06.2016 13:57:22;
20037;Агавала;women;1;23.06.2016 13:57:31;
20038;Агавара;women;1;23.06.2016 13:57:38;
20039;Агавия;women;5;23.06.2016 13:57:46;
20040;Агавня;women;0;23.06.2016 13:57:54;
20041;Агагюль;women;10;23.06.2016 13:58:03;
20042;Агада;women;29;23.06.2016 13:58:13;
20043;Агаджума;women;8;23.06.2016 13:58:19;
20044;Агадия;women;3;23.06.2016 13:58:26;
20045;Агадпея;women;4;23.06.2016 13:58:34;
20046;Агалина;women;79;23.06.2016 13:58:43;
20047;Агалирза;women;1;23.06.2016 13:58:50;
20048;Агамерза;women;0;23.06.2016 13:58:58;
20049;Агамирза;women;74;23.06.2016 13:59:07;
20050;Аганда;women;5;23.06.2016 13:59:15;
20051;Аганета;women;14;23.06.2016 13:59:23;
20052;Аганиса;women;3;23.06.2016 13:59:31;
20053;Агания;women;4;23.06.2016 13:59:38;
20054;Аганя;women;20;23.06.2016 13:59:48;
20055;Агаория;women;0;23.06.2016 13:59:54;
20056;Агапея;women;4;23.06.2016 14:00:03;
20057;Агапи;women;264;23.06.2016 14:00:11;
20058;Агапия;women;0;23.06.2016 14:00:18;
20059;Агапка;women;12;23.06.2016 14:00:27;
20060;Агапья;women;3;23.06.2016 14:00:34;
20061;Агариза;women;11;23.06.2016 14:00:45;
20062;Агария;women;2;23.06.2016 14:00:50;
20063;Агарпена;women;0;23.06.2016 14:00:58;
20064;Агарпина;women;2;23.06.2016 14:01:06;
20065;Агарпына;women;0;23.06.2016 14:01:14;
20066;Агарпья;women;2;23.06.2016 14:01:23;
20067;Агарья;women;1;23.06.2016 14:01:30;
20068;Агасия;women;2;23.06.2016 14:01:38;
20069;Агастрия;women;0;23.06.2016 14:01:46;
20070;Агася;women;9;23.06.2016 14:01:55;
20071;Агат;women;0;23.06.2016 14:02:02;
20072;Агата;women;23000;23.06.2016 14:02:12;
20073;Агатина;women;64;23.06.2016 14:02:19;
20074;Агатия;women;1;23.06.2016 14:02:26;
20075;Агатья;women;3;23.06.2016 14:02:34;
20076;Агатя;women;0;23.06.2016 14:02:42;
20077;Агафа;women;22;23.06.2016 14:02:51;
20078;Агафена;women;7;23.06.2016 14:03:00;
20079;Агафения;women;0;23.06.2016 14:03:06;
20080;Агафея;women;0;23.06.2016 14:03:14;
20081;Агафиа;women;1;23.06.2016 14:03:22;
20082;Агафинья;women;1;23.06.2016 14:03:31;
20083;Агафия;women;217;23.06.2016 14:03:39;
20084;Агафония;women;10;23.06.2016 14:03:46;
20085;Агафоня;women;2;23.06.2016 14:03:54;
20086;Агафрина;women;2;23.06.2016 14:04:02;
20087;Агафья;women;2000;23.06.2016 14:04:11;
20088;Агафя;women;4;23.06.2016 14:04:19;
20089;Агаша;women;258;23.06.2016 14:04:27;
20090;Агаэса;women;1;23.06.2016 14:04:34;
20091;Агба;women;83;23.06.2016 14:04:43;
20092;Аггея;women;9;23.06.2016 14:04:51;
20093;Агголина;women;0;23.06.2016 14:04:58;
20094;Аггюль;women;7;23.06.2016 14:05:07;
20095;Агдия;women;4;23.06.2016 14:05:15;
20096;Агейла;women;1;23.06.2016 14:05:22;
20097;Агентина;women;1;23.06.2016 14:05:30;
20098;Агерпина;women;0;23.06.2016 14:05:38;
20099;Агжана;women;10;23.06.2016 14:05:47;
20100;Агжанать;women;0;23.06.2016 14:05:54;
20101;Агида;women;23;23.06.2016 14:06:04;
20102;Агиета;women;1;23.06.2016 14:06:10;
20103;Агилна;women;0;23.06.2016 14:06:18;
20104;Агиль;women;808;23.06.2016 14:06:27;
20105;Агиля;women;210;23.06.2016 14:06:35;
20106;Агина;women;146;23.06.2016 14:06:45;
20107;Агинтья;women;0;23.06.2016 14:06:50;
20108;Агиста;women;1;23.06.2016 14:06:59;
20109;Агита;women;60;23.06.2016 14:07:07;
20110;Агитина;women;2;23.06.2016 14:07:15;
20111;Агица;women;14;23.06.2016 14:07:23;
20112;Агия;women;100;23.06.2016 14:07:33;
20113;Аглаида;women;141;23.06.2016 14:07:39;
20114;Агланя;women;1;23.06.2016 14:07:46;
20115;Аглария;women;1;23.06.2016 14:07:55;
20116;Аглафира;women;17;23.06.2016 14:08:03;
20117;Аглая;women;3000;23.06.2016 14:08:11;
20118;Аглера;women;2;23.06.2016 14:08:18;
20119;Аглефия;women;0;23.06.2016 14:08:26;
20120;Аглея;women;4;23.06.2016 14:08:39;
20121;Агликерия;women;1;23.06.2016 14:08:43;
20122;Аглина;women;7;23.06.2016 14:08:50;
20123;Аглиулла;women;2;23.06.2016 14:08:58;
20124;Аглия;women;28;23.06.2016 14:09:09;
20125;Аглукерия;women;0;23.06.2016 14:09:14;
20126;Агля;women;6;23.06.2016 14:09:24;
20127;Агмесса;women;0;23.06.2016 14:09:30;
20128;Агнастасия;women;6;23.06.2016 14:09:38;
20129;Агне;women;73;23.06.2016 14:09:48;
20130;Агневна;women;1;23.06.2016 14:09:54;
20131;Агнежка;women;21;23.06.2016 14:10:03;
20132;Агнезия;women;1;23.06.2016 14:10:10;
20133;Агнейта;women;1;23.06.2016 14:10:18;
20134;Агнела;women;0;23.06.2016 14:10:26;
20135;Агнелия;women;10;23.06.2016 14:10:36;
20136;Агнес;women;476;23.06.2016 14:10:45;
20137;Агнеса;women;907;23.06.2016 14:10:51;
20138;Агнесия;women;28;23.06.2016 14:11:00;
20139;Агнеска;women;36;23.06.2016 14:11:07;
20140;Агнесс;women;157;23.06.2016 14:11:15;
20141;Агнесса;women;5000;23.06.2016 14:11:23;
20142;Агнессия;women;8;23.06.2016 14:11:31;
20143;Агнеста;women;2;23.06.2016 14:11:39;
20144;Агнет;women;66;23.06.2016 14:11:50;
20145;Агнета;women;261;23.06.2016 14:11:55;
20146;Агнетта;women;92;23.06.2016 14:12:03;
20147;Агнеш;women;14;23.06.2016 14:12:11;
20148;Агнеша;women;83;23.06.2016 14:12:19;
20149;Агнешка;women;564;23.06.2016 14:12:27;
20150;Агнея;women;0;23.06.2016 14:12:34;
20151;Агнийка;women;1;23.06.2016 14:12:43;
20152;Агнилина;women;0;23.06.2016 14:12:50;
20153;Агнисия;women;0;23.06.2016 14:12:58;
20154;Агнита;women;3;23.06.2016 14:13:06;
20155;Агнишка;women;1;23.06.2016 14:13:15;
20156;Агния;women;7000;23.06.2016 14:13:24;
20157;Агният;women;0;23.06.2016 14:13:30;
20158;Агнория;women;1;23.06.2016 14:13:38;
20159;Агнышка;women;0;23.06.2016 14:13:46;
20160;Аголина;women;0;23.06.2016 14:13:54;
20161;Аголлинария;women;0;23.06.2016 14:14:02;
20162;Агомогла;women;1;23.06.2016 14:14:10;
20163;Агонета;women;0;23.06.2016 14:14:18;
20164;Агонина;women;24;23.06.2016 14:14:27;
20165;Агорпина;women;1;23.06.2016 14:14:35;
20166;Агорпиния;women;0;23.06.2016 14:14:42;
20167;Агота;women;6;23.06.2016 14:14:50;
20168;Аготта;women;3;23.06.2016 14:14:59;
20169;Агофия;women;0;23.06.2016 14:15:06;
20170;Агофья;women;1;23.06.2016 14:15:14;
20171;Аградина;women;2;23.06.2016 14:15:23;
20172;Аграпина;women;3;23.06.2016 14:15:31;
20173;Аграппина;women;1;23.06.2016 14:15:38;
20174;Агратина;women;53;23.06.2016 14:15:47;
20175;Аграфена;women;2000;23.06.2016 14:15:55;
20176;Аграфения;women;2;23.06.2016 14:16:02;
20177;Аграфина;women;14;23.06.2016 14:16:11;
20178;Аграфиния;women;0;23.06.2016 14:16:18;
20179;Аграфинья;women;2;23.06.2016 14:16:26;
20180;Аграфия;women;1;23.06.2016 14:16:35;
20181;Аграфья;women;2;23.06.2016 14:16:42;
20182;Агрегина;women;0;23.06.2016 14:16:50;
20183;Агренина;women;42;23.06.2016 14:16:59;
20184;Агрепена;women;1;23.06.2016 14:17:06;
20185;Агрепина;women;158;23.06.2016 14:17:15;
20186;Агрепиния;women;0;23.06.2016 14:17:22;
20187;Агреппина;women;31;23.06.2016 14:17:32;
20188;Агрерина;women;2;23.06.2016 14:17:38;
20189;Агретина;women;2;23.06.2016 14:17:47;
20190;Агрефена;women;10;23.06.2016 14:17:57;
20191;Агрефина;women;2;23.06.2016 14:18:02;
20192;Агрефинья;women;0;23.06.2016 14:18:10;
20193;Агрикерия;women;0;23.06.2016 14:18:18;
20194;Агриколь;women;245;23.06.2016 14:18:27;
20195;Агрилина;women;0;23.06.2016 14:18:34;
20196;Агринина;women;0;23.06.2016 14:18:42;
20197;Агринтина;women;0;23.06.2016 14:18:50;
20198;Агрипена;women;2;23.06.2016 14:18:58;
20199;Агрипигина;women;1;23.06.2016 14:19:06;
20200;Агрипина;women;406;23.06.2016 14:19:15;
20201;Агрипиния;women;2;23.06.2016 14:19:22;
20202;Агрипинна;women;4;23.06.2016 14:19:30;
20203;Агриппина;women;2000;23.06.2016 14:19:39;
20204;Агриса;women;1;23.06.2016 14:19:46;
20205;Агрифена;women;4;23.06.2016 14:19:55;
20206;Агрифина;women;7;23.06.2016 14:20:05;
20207;Агролина;women;0;23.06.2016 14:20:10;
20208;Агропина;women;2;23.06.2016 14:20:18;
20209;Агропиния;women;0;23.06.2016 14:20:34;
20210;Агроппина;women;2;23.06.2016 14:20:34;
20211;Агрофена;women;75;23.06.2016 14:20:44;
20212;Агрофения;women;1;23.06.2016 14:20:50;
20213;Агрофина;women;8;23.06.2016 14:20:59;
20214;Агрофиния;women;2;23.06.2016 14:21:06;
20215;Агрулина;women;1;23.06.2016 14:21:14;
20216;Агруния;women;0;23.06.2016 14:21:22;
20217;Агтета;women;2;23.06.2016 14:21:30;
20218;Агунда;women;642;23.06.2016 14:21:39;
20219;Агуя;women;2;23.06.2016 14:21:46;
20220;Агустина;women;16;23.06.2016 14:21:55;
20221;Агфия;women;0;23.06.2016 14:22:02;
20222;Агха;women;7;23.06.2016 14:22:11;
20223;Агэля;women;0;23.06.2016 14:22:18;
20224;Агэта;women;0;23.06.2016 14:22:28;
